TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170226120241,3400,76,84,24,85.47,50,64
20170226120242,3501,76,84,24,95.83,64,64
20170226120243,3639,78,84,22,110.67,64,74
20170226120244,3639,81,84,22,110.67,67,72
20170226120245,3765,81,84,22,100.73,52,72
20170226120246,3849,85,84,22,101.92,52,67
20170226120247,3849,86,84,22,101.92,51,50
20170226120248,3883,86,84,22,47.67,33,50
20170226120249,3800,86,84,23,44.800000000000004,33,29
20170226120250,3800,85,84,23,44.800000000000004,32,29
20170226120251,3741,85,84,25,44.03,32,29
20170226120252,3680,83,84,25,43.4,32,29
20170226120253,3680,83,84,25,43.4,32,30
20170226120254,3614,83,84,25,44.03,32,30
20170226120255,3576,80,84,25,42.42,32,29
20170226120256,3576,80,84,25,42.42,33,33
20170226120257,3576,80,84,26,52.5,35,33
20170226120259,3594,80,84,25,52.01,35,36
20170226120300,3594,80,84,25,52.01,35,32
20170226120301,3608,80,85,25,36.12,29,32
20170226120302,3573,80,85,26,36.12,29,22
20170226120303,3573,80,85,26,23.87,25,17
20170226120304,3536,80,85,26,23.59,25,17
20170226120305,3513,79,85,26,23.59,25,16
20170226120306,3513,78,85,26,23.17,25,16
20170226120307,3500,78,85,26,23.240000000000002,25,16
20170226120308,3498,78,85,26,23.240000000000002,25,17
20170226120309,3498,78,85,26,23.17,25,16
20170226120310,3486,78,85,26,19.53,19,16
20170226120311,3397,78,85,27,19.53,19,7
20170226120312,3397,78,85,27,10.290000000000001,17,7
20170226120313,3301,76,85,27,10.01,17,7
20170226120314,3301,73,85,27,10.01,17,7
20170226120315,3204,73,85,27,9.73,17,7
20170226120316,3113,71,85,28,9.31,17,7
20170226120317,3113,69,84,28,9.31,17,7
20170226120318,3020,69,84,28,9.1,17,7
20170226120319,2932,66,84,28,8.540000000000001,17,7
20170226120320,2932,65,84,28,8.540000000000001,17,7
20170226120321,2743,65,84,28,7.98,17,7
20170226120322,2502,60,84,27,7.28,17,7
20170226120323,2502,57,84,27,7.28,17,7
20170226120324,2194,57,84,27,6.65,17,7
20170226120326,1861,48,84,27,5.74,17,8
20170226120327,1861,40,84,28,5.74,17,8
20170226120328,1614,40,83,28,5.25,17,8
20170226120329,1394,36,83,28,5.11,17,8
20170226120330,1394,30,83,28,5.11,17,11
20170226120331,992,30,83,28,4.13,17,11
20170226120332,931,30,83,28,4.13,17,11
20170226120333,931,22,83,28,4.13,17,11
20170226120334,931,22,83,28,4.2700000000000005,17,11
20170226120335,884,15,83,28,4.2700000000000005,17,14
20170226120336,884,14,83,28,4.97,17,14
20170226120337,870,14,83,28,4.97,17,14
20170226120338,866,14,83,29,4.97,17,14
20170226120339,866,13,83,29,4.97,17,14
20170226120340,871,13,83,29,4.83,17,14
20170226120341,851,8,83,29,4.83,17,14
20170226120342,851,8,83,29,4.2,17,11
20170226120343,897,8,83,29,4.2700000000000005,17,11
20170226120344,910,8,83,29,4.2700000000000005,17,11
20170226120345,910,8,84,29,4.2700000000000005,17,11
20170226120346,911,7,84,30,4.2700000000000005,17,11
20170226120347,886,7,84,31,4.2700000000000005,17,12
20170226120348,886,7,84,31,4.2700000000000005,17,13
20170226120349,904,5,84,31,4.2700000000000005,17,13
20170226120350,904,4,84,31,4.2700000000000005,17,12
20170226120352,916,4,84,31,9.73,23,26
